,id,school,conference,division,color,logos,latitude_school,longitude_school
48,2309,Kent State,Mid-American,East,#002445,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,41.1390935,-81.31346
49,96,Kentucky,SEC,East,#005DAA,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,38.0220905,-84.5053408
50,2335,Liberty,Conference USA,,#071740,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,37.3544305,-79.1750239
51,309,Louisiana,Sun Belt,West,#ce2842,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,30.2158434,-92.0417371
52,2433,Louisiana Monroe,Sun Belt,West,#231F20,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,32.5308089,-92.0660602
53,2348,Louisiana Tech,Conference USA,,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,32.5321487,-92.6560019
54,97,Louisville,ACC,Atlantic,#ad000a,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,38.2057621,-85.7588141
55,99,LSU,SEC,West,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,30.412035,-91.1838163
56,276,Marshall,Sun Belt,East,#00ae42,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,38.4247042,-82.4214412
57,120,Maryland,Big Ten,East,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,38.9903332,-76.9473792
58,235,Memphis,American Athletic,,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,35.1209429,-89.977147
59,2390,Miami,ACC,Coastal,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,25.9579665,-80.2388604
60,193,Miami (OH),Mid-American,East,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,39.5197009,-84.7330255
61,130,Michigan,Big Ten,East,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,42.2658365,-83.7486956
62,127,Michigan State,Big Ten,East,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,42.7281474,-84.4848526
63,2393,Middle Tennessee,Conference USA,,#0079C2,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,35.8511463,-86.3681649
64,135,Minnesota,Big Ten,West,#7A0019,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,44.976525,-93.2245462
65,344,Mississippi State,SEC,West,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,33.4563403,-88.7933652
66,142,Missouri,SEC,East,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,38.9358491,-92.3332009
67,2426,Navy,American Athletic,,#131630,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,38.9846985,-76.5076335
68,152,NC State,ACC,Atlantic,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,35.8008001,-78.7195655
69,158,Nebraska,Big Ten,West,#F20017,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,40.820682,-96.705594
70,2440,Nevada,Mountain West,West,#153E5F,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,39.5469459,-119.8175435
71,167,New Mexico,Mountain West,Mountain,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,35.0669479,-106.6283225
72,166,New Mexico State,Conference USA,,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,32.2796202,-106.7411148
73,153,North Carolina,ACC,Coastal,#99bfe5,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,35.9069294,-79.0478889
74,2459,Northern Illinois,Mid-American,West,#F1122C,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,41.9339586,-88.7778357
75,249,North Texas,American Athletic,,#00853D,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,33.203899,-97.159245
76,77,Northwestern,Big Ten,West,#372286,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,42.0653994,-87.6924751
77,87,Notre Dame,FBS Independents,,#00122b,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,41.698378,-86.2339425
78,195,Ohio,Mid-American,East,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,39.3212794,-82.1034315
79,194,Ohio State,Big Ten,East,#DE3121,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,40.0016447,-83.0197266
80,201,Oklahoma,Big 12,,#7b0000,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,35.2058537,-97.4423145
81,197,Oklahoma State,Big 12,,#FF6500,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,36.125673,-97.066513
82,295,Old Dominion,Sun Belt,East,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,36.8889533,-76.3049175
83,145,Ole Miss,SEC,West,#001148,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,34.3619837,-89.5342076
84,2483,Oregon,Pac-12,,#044520,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,44.0582712,-123.0684883
85,204,Oregon State,Pac-12,,#c34500,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,44.5594559,-123.2814341
86,213,Penn State,Big Ten,East,#041E42,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,40.8121958,-77.8561023
87,221,Pittsburgh,ACC,Coastal,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,40.4467648,-80.0157603
88,2509,Purdue,Big Ten,West,#B89D29,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,40.4352253,-86.9186843
89,242,Rice,American Athletic,,#003D7D,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,29.7163297,-95.4093261
90,164,Rutgers,Big Ten,East,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,40.5462553,-74.4660408
91,2534,Sam Houston State,Conference USA,,#fe5000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,30.713926,-95.5419802
92,21,San Diego State,Mountain West,West,#BF2C37,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,32.784444,-117.122833
93,23,San José State,Mountain West,West,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,37.3196675,-121.8682962
94,2567,SMU,American Athletic,,#E32F38,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,32.8377223,-96.7827859
95,6,South Alabama,Sun Belt,West,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,30.6943566,-88.0430541
96,2579,South Carolina,SEC,East,#670010,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,33.9730239,-81.0191726
97,2572,Southern Mississippi,Sun Belt,West,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,31.3289321,-89.3318118
98,58,South Florida,American Athletic,,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,27.9758691,-82.5033344
99,24,Stanford,Pac-12,,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,37.4345556,-122.1611271
100,183,Syracuse,ACC,Atlantic,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,43.0362269,-76.1363161
101,2628,TCU,Big 12,,#3C377D,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,32.7096604,-97.3680835
102,218,Temple,American Athletic,,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,39.9007995,-75.1675414
103,2633,Tennessee,SEC,East,#EE9627,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,35.9550131,-83.9250128
104,251,Texas,Big 12,,#EE7524,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,30.2836813,-97.7325345
105,245,Texas A&M,SEC,West,#5C0025,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,30.6098891,-96.3403828
106,326,Texas State,Sun Belt,West,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,29.8910008,-97.9255735
107,2641,Texas Tech,Big 12,,#C80025,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,33.5910518,-101.8728824
108,2649,Toledo,Mid-American,West,#15397F,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,41.6574777,-83.6135652
109,2653,Troy,Sun Belt,West,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,31.7995565,-85.9518328
110,2655,Tulane,American Athletic,,#005837,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,29.944616,-90.116692
111,202,Tulsa,American Athletic,,#004371,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,36.1489175,-95.9437853
112,5,UAB,American Athletic,,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,33.5206824,-86.8024326
113,2116,UCF,Big 12,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,28.6079765,-81.1927233
114,26,UCLA,Pac-12,,#005C8E,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,34.1613284,-118.1676462
115,113,UMass,FBS Independents,,#971B2F,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,42.3773244,-72.5360595
116,2439,UNLV,Mountain West,West,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,36.1672559,-115.1485163
117,30,USC,Pac-12,,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,34.014167,-118.287778
118,254,Utah,Pac-12,,#890012,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,40.7599724,-111.8488255
119,328,Utah State,Mountain West,Mountain,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,41.7517394,-111.8116007
120,2638,UTEP,Conference USA,,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,31.7733353,-106.507957
121,2636,UT San Antonio,American Athletic,,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,29.4169834,-98.4788143
122,238,Vanderbilt,SEC,East,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,36.1440455,-86.8088942
123,258,Virginia,ACC,Coastal,#f84c1e,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,38.0311801,-78.5137897
124,259,Virginia Tech,ACC,Coastal,#74232D,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,37.2199873,-80.4180643
125,154,Wake Forest,ACC,Atlantic,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,36.1305507,-80.2545851
126,264,Washington,Pac-12,,#2B2F64,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,47.6503235,-122.3015746
127,265,Washington State,Pac-12,,#94022a,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,46.731831,-117.1604991
128,98,Western Kentucky,Conference USA,,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,36.9847901,-86.4594041
129,2711,Western Michigan,Mid-American,West,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,42.2860064,-85.6007573
130,277,West Virginia,Big 12,,#FFC600,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,39.6502744,-79.9551873
131,275,Wisconsin,Big Ten,West,#A00001,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,43.06994,-89.4126943
132,2751,Wyoming,Mountain West,Mountain,#533B22,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,41.31161,-105.5681384
